epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.067,1.37231,1.2449,1.26639,0.83437,0.75505,0.80358,0.46365,1.3739,1.0087,1.22034,0.000332579,0.000332579,0.0670747
2,261.923,1.32851,0.81317,1.2295,0.95797,0.89522,0.92999,0.5564,1.38635,0.70954,1.20922,0.000652727,0.000652727,0.0340615
3,392.672,1.30114,0.79622,1.22481,0.9052,0.87016,0.89933,0.55431,1.34615,0.7711,1.19717,0.000959676,0.000959676,0.00103509
4,522.869,1.27264,0.75914,1.20485,0.95944,0.90114,0.93633,0.54923,1.40882,0.6806,1.21976,0.0009406,0.0009406,0.0009406
5,653.18,1.25324,0.72737,1.19146,0.95615,0.91526,0.94509,0.61861,1.2241,0.58457,1.12276,0.0009208,0.0009208,0.0009208
6,783.147,1.22972,0.69373,1.17627,0.96919,0.91481,0.94931,0.62521,1.19982,0.60553,1.13432,0.000901,0.000901,0.000901
7,913.203,1.21032,0.68652,1.16693,0.96678,0.91936,0.95154,0.62009,1.22296,0.59661,1.12466,0.0008812,0.0008812,0.0008812
8,1043.34,1.21656,0.66958,1.16726,0.96628,0.92678,0.95727,0.62525,1.23776,0.57371,1.13934,0.0008614,0.0008614,0.0008614
9,1173.65,1.19584,0.65703,1.16096,0.97445,0.92346,0.95538,0.60887,1.26874,0.58899,1.15215,0.0008416,0.0008416,0.0008416
10,1303.61,1.1925,0.64954,1.15935,0.97284,0.92027,0.95465,0.59712,1.29673,0.55143,1.14155,0.0008218,0.0008218,0.0008218
11,1433.84,1.18645,0.63465,1.15199,0.97371,0.93212,0.95812,0.6395,1.1793,0.53276,1.10423,0.000802,0.000802,0.000802
12,1563.95,1.16979,0.61448,1.14578,0.9746,0.92654,0.9592,0.61993,1.23035,0.54307,1.13702,0.0007822,0.0007822,0.0007822
13,1694.06,1.16937,0.60675,1.14544,0.96292,0.92392,0.95356,0.63578,1.16202,0.58601,1.11278,0.0007624,0.0007624,0.0007624
14,1823.95,1.15307,0.60105,1.1394,0.97973,0.9385,0.95778,0.62631,1.22172,0.51926,1.12079,0.0007426,0.0007426,0.0007426
15,1954.3,1.14417,0.58306,1.12866,0.97339,0.9331,0.96189,0.64659,1.16804,0.49144,1.08567,0.0007228,0.0007228,0.0007228
16,2084.84,1.15111,0.58813,1.12918,0.98231,0.93599,0.96447,0.62864,1.22381,0.51169,1.11941,0.000703,0.000703,0.000703
17,2215.26,1.13889,0.56871,1.12663,0.97067,0.9385,0.96406,0.63254,1.22046,0.51346,1.11129,0.0006832,0.0006832,0.0006832
18,2345.86,1.12709,0.56128,1.12431,0.97717,0.93583,0.96495,0.65233,1.15053,0.48318,1.09055,0.0006634,0.0006634,0.0006634
19,2476.69,1.12771,0.56799,1.11918,0.97851,0.93343,0.96132,0.64548,1.17323,0.48593,1.09856,0.0006436,0.0006436,0.0006436
20,2607.16,1.11716,0.55007,1.11487,0.98108,0.94496,0.96864,0.66257,1.1318,0.47271,1.07169,0.0006238,0.0006238,0.0006238
21,2737.52,1.11332,0.55984,1.10916,0.98058,0.94332,0.96219,0.64069,1.18231,0.47149,1.09357,0.000604,0.000604,0.000604
22,2867.86,1.11279,0.54533,1.11225,0.98309,0.94077,0.96872,0.6615,1.13999,0.46766,1.07559,0.0005842,0.0005842,0.0005842
23,2998.21,1.10425,0.54173,1.10481,0.98379,0.93667,0.96684,0.65368,1.15714,0.45312,1.08294,0.0005644,0.0005644,0.0005644
24,3128.74,1.10308,0.52886,1.10819,0.98609,0.93651,0.96901,0.66572,1.13133,0.44762,1.07236,0.0005446,0.0005446,0.0005446
25,3259.19,1.09,0.51991,1.09726,0.97832,0.94552,0.96707,0.66102,1.14311,0.45924,1.0735,0.0005248,0.0005248,0.0005248
26,3389.72,1.09028,0.5169,1.1028,0.98461,0.93895,0.96953,0.65825,1.15044,0.44629,1.0827,0.000505,0.000505,0.000505
27,3520.11,1.09338,0.52088,1.10242,0.98515,0.93622,0.96763,0.65773,1.15384,0.44315,1.07843,0.0004852,0.0004852,0.0004852
28,3650.37,1.06788,0.50912,1.09109,0.98383,0.94274,0.97128,0.66812,1.10561,0.43535,1.0625,0.0004654,0.0004654,0.0004654
29,3780.81,1.08158,0.51216,1.09417,0.97985,0.95243,0.97098,0.67012,1.11405,0.43866,1.06939,0.0004456,0.0004456,0.0004456
30,3911.01,1.06574,0.50053,1.08636,0.98761,0.9439,0.97098,0.66878,1.12095,0.4283,1.06607,0.0004258,0.0004258,0.0004258
31,4041.24,1.07458,0.49887,1.08565,0.98339,0.94305,0.97075,0.66992,1.11992,0.43339,1.0618,0.000406,0.000406,0.000406
32,4171.47,1.06567,0.49432,1.0853,0.98455,0.94624,0.97163,0.6768,1.0968,0.42358,1.05461,0.0003862,0.0003862,0.0003862
33,4301.75,1.05517,0.48557,1.08238,0.98462,0.94989,0.97273,0.67545,1.11157,0.42004,1.06464,0.0003664,0.0003664,0.0003664
34,4431.87,1.0543,0.47886,1.08101,0.98857,0.94549,0.97144,0.66974,1.12221,0.42019,1.06177,0.0003466,0.0003466,0.0003466
